country1,country2,weight
eo,pt,51
ms,ru,68
ru,lv,23
lv,uk,56
uk,USA,44
uk,Canada,44
de,ca,122
ca,pl,48
pl,ru,189
ru,it,132
it,tr,71
ht,Spain,130
ht,Mexico,130
Spain,sr,296
Mexico,sr,296
sr,pl,131
pl,ky,93
simple,tr,26
tr,azb,97
azb,it,44
pl,Netherlands,247
cs,pl,86
fi,Netherlands,33
pt,tr,84
tr,ja,16
ja,ru,61
pl,el,13
el,USA,23
el,Canada,23
France,et,32
Canada,et,32
et,fi,23
fi,Spain,68
fi,Mexico,68
Spain,ru,159
Mexico,ru,159
fi,de,81
France,eo,82
Canada,eo,82
eo,sk,8
sk,Netherlands,11
Netherlands,war,42
war,pt,20
pt,sr,141
sr,ru,38
lv,ar,7
ar,lt,15
lt,tr,14
eo,USA,154
eo,Canada,154
be,Spain,13
be,Mexico,13
Spain,uk,326
Mexico,uk,326
uk,tr,14
Spain,de,736
Mexico,de,736
de,sr,57
sr,ar,19
ar,uk,42
uk,pl,126
ky,it,31
it,azb,60
pl,id,26
id,Netherlands,9
Netherlands,ms,13
ms,pt,208
eo,lt,13
lt,Spain,22
lt,Mexico,22
de,France,1081
de,Canada,1081
pt,ru,207
cs,sk,117
no,war,14
ru,ms,62
lt,ar,17
ar,France,43
ar,Canada,43
France,ko,44
Canada,ko,44
ko,China,60
eo,ca,14
pl,USA,311
pl,Canada,311
USA,cs,116
Canada,cs,116
Netherlands,de,349
China,hu,32
hu,ms,8
pt,uk,112
uk,sr,88
de,it,482
it,USA,240
it,Canada,240
USA,eu,50
Canada,eu,50
China,an,5
de,fy,11
ro,id,23
id,Sweden,61
France,li,5
Canada,li,5
vo,eo,23
eo,tr,13
tr,nn,8
nn,ru,34
ru,fi,67
da,nds,5
ms,la,266
la,ca,5
ca,China,59
China,war,8
war,sw,5
lt,eu,10
eu,uk,33
uk,et,11
sh,Spain,25
sh,Mexico,25
Spain,th,7
Mexico,th,7
th,ko,14
af,ar,5
Netherlands,mk,10
ga,zh_yue,7
it,sr,31
ms,oc,7
lv,Spain,13
lv,Mexico,13
Spain,lt,39
Mexico,lt,39
sr,it,148
it,fa,183
fa,pl,87
Spain,pl,183
Mexico,pl,183
fi,USA,112
fi,Canada,112
ro,Sweden,70
de,se,16
se,et,15
et,no,33
no,pl,109
pl,China,153
China,nn,124
nn,sq,5
sq,gl,22
USA,he,31
Canada,he,31
he,tr,9
eo,cs,44
fi,ro,14
ro,nn,12
nn,de,47
France,se,54
Canada,se,54
USA,eo,228
Canada,eo,228
de,ro,165
ro,vo,20
nn,uk,15
uk,Spain,172
uk,Mexico,172
Spain,Sweden,92
Mexico,Sweden,92
Sweden,ca,33
ca,cy,10
Sweden,no,121
pl,ca,51
China,sq,37
sq,Spain,19
sq,Mexico,19
Spain,ko,52
Mexico,ko,52
ko,et,9
et,gl,20
ro,de,163
Spain,sq,8
Mexico,sq,8
pl,da,34
da,nn,32
nn,ja,9
Sweden,de,369
eo,et,10
pl,ms,115
ms,fa,152
tr,China,39
ja,az,8
az,USA,7
az,Canada,7
France,el,30
Canada,el,30
France,uk,150
Canada,uk,150
no,USA,144
no,Canada,144
Netherlands,bg,51
bg,it,34
it,nn,50
nn,lt,8
lt,et,10
et,France,30
et,Canada,30
sr,fi,17
Spain,da,31
Mexico,da,31
da,pt,25
pt,simple,25
simple,fo,32
fo,is,33
is,ro,10
ro,uk,63
pt,ja,308
ja,de,216
de,lmo,47
lmo,Spain,148
lmo,Mexico,148
war,tl,340
tl,China,48
China,scn,281
scn,ms,287
ms,sh,25
sh,hy,430
hy,fa,272
USA,vi,139
Canada,vi,139
vi,Spain,104
vi,Mexico,104
ms,bug,749
bug,oc,107
oc,Sweden,158
Sweden,ro,142
ro,China,304
la,id,83
id,hy,42
hy,sq,161
France,it,431
Canada,it,431
fi,vi,11
vi,sl,10
sl,Spain,12
sl,Mexico,12
war,lb,63
lb,ms,60
la,hy,105
sq,France,6
sq,Canada,6
no,de,124
de,ja,236
ja,ko,86
ko,nn,7
nn,eu,6
eu,war,19
war,ru,46
ja,fi,31
de,ht,116
ht,it,79
it,ko,40
ar,tr,19
China,id,66
sq,lb,97
lb,de,27
ca,ms,263
bug,Sweden,437
Sweden,id,83
id,la,77
la,de,421
France,ro,56
Canada,ro,56
it,China,163
China,de,130
Sweden,Netherlands,135
Netherlands,ko,37
ko,ca,21
ms,bg,25
bg,pt,31
pt,fa,54
fa,Spain,202
fa,Mexico,202
ru,ja,51
vi,Netherlands,7
de,hy,123
China,Netherlands,85
France,no,128
Canada,no,128
no,ko,65
ko,Sweden,19
Sweden,eu,12
ru,pam,7
pam,it,13
China,it,104
France,szl,10
Canada,szl,10
io,pl,7
sr,tr,41
cs,Sweden,31
no,fi,48
fi,it,50
it,ja,110
ja,lmo,50
lmo,de,14
tl,ia,110
ia,China,194
la,sh,260
hy,bar,77
bar,fa,76
fa,tr,75
tr,bg,25
Sweden,sk,155
sk,ro,138
Spain,vi,116
Mexico,vi,116
vi,war,130
de,bg,78
bg,France,61
bg,Canada,61
be,be_x_old,17
be_x_old,ru,12
no,pt,103
Spain,ja,73
Mexico,ja,73
ja,he,22
he,id,6
cs,ar,18
it,pt,441
lmo,uk,30
fa,bg,216
vi,ar,13
ar,Spain,30
ar,Mexico,30
China,ru,198
ru,la,186
simple,pl,24
France,ky,6
Canada,ky,6
ky,azb,24
Netherlands,it,177
China,simple,21
simple,ru,16
ja,Spain,95
ja,Mexico,95
sr,uk,64
pl,tr,59
USA,hu,217
Canada,hu,217
hu,France,97
hu,Canada,97
China,vi,42
vi,ru,30
fi,id,13
id,fa,24
fa,ga,13
ga,France,36
ga,Canada,36
ht,de,151
de,simple,44
Spain,ky,11
Mexico,ky,11
ky,France,18
ky,Canada,18
France,azb,22
Canada,azb,22
USA,Netherlands,415
Canada,Netherlands,415
Spain,oc,120
Mexico,oc,120
id,ru,32
Sweden,hy,7
hy,uk,14
uk,ko,30
ko,fi,12
io,de,52
de,fi,105
sr,simple,14
simple,uk,17
uk,it,80
it,pl,229
cs,fa,33
li,USA,8
li,Canada,8
France,vi,19
Canada,vi,19
io,France,5
io,Canada,5
France,ht,37
Canada,ht,37
pl,it,330
hu,azb,20
azb,China,33
France,bg,55
Canada,bg,55
simple,de,36
ro,da,17
da,Sweden,27
id,li,6
nds,France,8
nds,Canada,8
France,vo,50
Canada,vo,50
sk,eo,17
eo,he,15
af,nn,5
eu,stq,10
ja,ms,11
ms,war,7
cy,ca,6
ca,bg,20
bg,tr,12
tr,hr,9
et,lt,8
ko,cs,18
uk,ka,14
ka,lv,6
gd,sco,15
be_x_old,ar,12
ar,ga,9
el,mk,10
la,br,21
no,ht,5
ar,China,30
Spain,it,295
Mexico,it,295
ja,pms,63
ca,ru,64
ru,ro,63
USA,az,18
Canada,az,18
az,China,9
China,tr,38
ar,cs,16
ru,cs,49
cs,France,78
cs,Canada,78
France,fi,90
Canada,fi,90
pt,ar,64
ar,Netherlands,30
Netherlands,uk,32
uk,bn,5
Spain,id,29
Mexico,id,29
ta,ko,7
ko,fa,49
fa,it,102
hy,de,59
de,sq,43
de,no,253
no,Spain,65
no,Mexico,65
de,pt,269
pt,Sweden,105
no,eu,15
China,bn,5
France,te,6
Canada,te,6
hi,he,6
he,it,33
it,gu,16
de,sh,17
sh,no,6
Spain,ro,42
Mexico,ro,42
ca,ja,20
ru,uk,147
uk,af,7
China,lt,36
lt,be,11
lb,USA,39
lb,Canada,39
