country1,country2,weight
hu,pt,45
pt,sk,14
sr,da,8
da,cs,7
cs,hr,7
eo,id,53
id,ro,11
th,ru,11
mr,tr,5
tr,ast,5
vi,ko,9
ko,br,7
ka,fa,8
az,ur,8
jv,it,6
bg,ja,15
Sweden,br,19
br,de,23
no,ja,40
hak,zh_yue,9
Netherlands,nds,8
ru,bg,37
bg,ca,22
hy,eo,9
ta,uk,8
ko,it,43
pl,vi,29
mn,Sweden,12
fi,ar,16
Sweden,sl,29
Spain,hi,5
Mexico,hi,5
hi,ta,10
China,ml,6
ms,tg,6
hu,id,13
hi,id,7
no,br,10
USA,ur,14
Canada,ur,14
pnb,China,44
de,sk,51
sk,uk,7
China,crh,7
USA,hy,14
Canada,hy,14
it,eo,169
sl,ro,5
ms,cs,27
crh,China,21
lt,bg,12
pt,tl,5
tl,de,95
it,br,11
uk,ro,26
ro,arz,19
eo,China,36
no,mr,8
pt,ko,31
zh_min_nan,zh_yue,6
zh_yue,hu,5
USA,sh,54
Canada,sh,54
sh,de,19
lt,war,11
fi,be_x_old,7
eu,Netherlands,14
ko,bg,9
bg,eo,7
rue,it,5
id,et,5
ms,pl,57
fi,ca,24
hr,nn,7
is,sh,5
sh,China,8
roa_tara,lmo,6
China,el,17
el,nn,5
af,eu,8
eu,ca,15
tr,simple,15
ht,ru,21
ja,tr,41
Sweden,da,33
ro,no,25
vo,pl,12
pt,hr,17
hr,it,27
ru,da,27
da,simple,19
sh,cs,25
cs,ko,12
el,no,14
no,hi,7
pl,hu,65
uk,eo,27
USA,pnb,30
Canada,pnb,30
pnb,de,10
Spain,he,23
Mexico,he,23
sq,et,11
la,USA,8
la,Canada,8
simple,pt,17
he,Spain,26
he,Mexico,26
la,Spain,18
la,Mexico,18
ca,he,14
it,ro,52
bg,pl,22
pl,hr,19
nn,simple,33
is,da,9
ca,als,8
sh,uk,23
nn,fi,37
fi,arz,13
or,China,7
USA,id,71
Canada,id,71
id,uk,23
uk,szl,11
szl,Sweden,5
France,lv,11
Canada,lv,11
lv,China,19
bg,th,25
th,fa,14
jv,lv,20
lv,szl,5
szl,uk,6
war,France,40
war,Canada,40
bg,vi,5
szl,de,10
Netherlands,sh,9
pl,simple,21
ro,USA,79
ro,Canada,79
jv,de,6
no,et,18
sl,de,74
eo,ar,13
ar,it,48
cs,war,6
gd,France,26
gd,Canada,26
sa,Spain,6
sa,Mexico,6
ro,jv,25
cs,et,8
ja,ar,37
uk,tl,6
tl,fa,6
fi,bg,18
de,th,19
de,io,20
Spain,simple,36
Mexico,simple,36
simple,it,44
tl,ro,50
pt,no,57
la,China,21
uk,ca,23
ca,nn,9
nn,he,7
tr,eo,11
eo,ja,16
bg,Spain,41
bg,Mexico,41
nn,ro,5
eu,China,11
ar,he,13
tr,ga,7
ga,pl,13
new,ta,5
bg,ms,6
France,th,15
Canada,th,15
Spain,ms,43
Mexico,ms,43
USA,mk,6
Canada,mk,6
Sweden,et,34
ca,eu,29
pms,de,6
tl,ca,7
da,USA,28
da,Canada,28
ru,kl,6
pt,ka,17
ka,cs,17
ro,Netherlands,34
ar,pl,33
cs,hy,16
he,France,21
he,Canada,21
de,is,8
ca,Netherlands,34
pl,no,79
ka,ja,9
ja,cs,28
pl,sh,8
sh,sr,13
ja,uk,38
uk,eu,16
eu,France,25
eu,Canada,25
France,la,7
Canada,la,7
el,hu,6
hu,no,28
it,sk,11
ru,el,13
el,uk,7
Netherlands,ca,67
Netherlands,he,17
ko,eu,54
eu,zh_yue,7
zh_yue,hak,6
hak,pl,9
fa,mwl,16
mwl,it,23
USA,sk,24
Canada,sk,24
ja,Netherlands,69
et,de,67
simple,Spain,59
simple,Mexico,59
ja,no,56
ru,eu,30
eu,nn,5
da,Spain,32
da,Mexico,32
fa,fi,20
fi,zh_yue,10
zh_yue,wuu,14
no,lt,24
lt,pl,35
Sweden,nn,15
zh_yue,fa,17
uk,th,14
th,wuu,5
Sweden,af,7
af,France,18
af,Canada,18
nds,ca,5
China,he,23
ko,sco,5
sco,ar,9
no,vi,21
Sweden,zh_yue,18
ja,Sweden,36
pl,sr,101
ru,ne,9
sr,Sweden,54
simple,ro,12
ko,da,11
da,eu,9
eu,pl,38
pam,zh_yue,7
zh_yue,Sweden,11
Sweden,ar,22
ms,Spain,32
ms,Mexico,32
it,da,19
ta,hi,6
ht,France,85
ht,Canada,85
pt,nn,22
nn,it,53
ru,ar,48
da,China,22
bg,war,7
war,ja,11
ia,scn,5
sh,bg,20
hy,eu,15
Sweden,ht,28
da,de,28
ar,pt,27
no,hr,11
nn,sl,7
da,ru,18
sr,fa,28
crh,cs,5
China,be_x_old,23
ca,pt,76
eo,uk,28
nn,pt,11
tr,fa,28
USA,bg,60
Canada,bg,60
France,dsb,12
Canada,dsb,12
dsb,fa,9
fa,et,23
eo,ms,20
ro,nds_nl,17
eu,Spain,53
eu,Mexico,53
no,hu,37
ru,fa,65
lv,pt,15
no,Sweden,75
ja,nn,8
ar,nn,8
nn,vi,5
vi,simple,5
simple,oc,5
oc,pt,9
Sweden,ja,73
fo,da,11
ro,cs,21
Sweden,lv,5
lv,de,15
ms,dsb,7
dsb,he,6
he,ca,11
hi,gu,7
no,eo,19
eo,da,10
tt,arz,6
Netherlands,el,8
el,fi,7
France,he,31
Canada,he,31
China,pt,65
da,fi,14
hy,bg,33
no,th,16
hu,fi,30
th,hu,7
ca,USA,84
ca,Canada,84
USA,el,36
Canada,el,36
el,de,24
no,ro,23
ga,Sweden,31
pt,fi,75
fi,sr,11
sr,cs,28
nn,arz,7
hu,arz,19
th,Spain,15
th,Mexico,15
cs,pt,36
Netherlands,th,8
war,it,57
it,bg,36
France,oc,47
Canada,oc,47
oc,USA,68
oc,Canada,68
pcd,de,22
el,it,22
lt,de,41
de,vi,23
France,be,9
Canada,be,9
be,et,12
hr,de,29
it,la,11
sh,el,8
id,sq,7
Netherlands,pnb,6
Sweden,eo,49
de,sl,46
sq,cy,8
cy,ast,7
ast,ak,7
sk,France,13
sk,Canada,13
bg,sr,16
sr,hu,21
France,br,76
Canada,br,76
it,rue,13
eo,simple,10
eu,pt,9
pt,af,5
tr,ko,24
USA,sr,44
Canada,sr,44
Spain,szl,6
Mexico,szl,6
de,et,30
et,USA,63
et,Canada,63
pt,eo,55
cs,el,8
sl,USA,35
sl,Canada,35
ko,sk,5
sk,cs,38
Sweden,fy,5
hu,Netherlands,29
Netherlands,hr,16
mr,de,9
sk,fi,9
hr,sh,31
fa,id,27
id,lt,8
hu,simple,9
simple,sh,9
sh,br,11
br,lt,8
ro,gl,7
gl,tr,8
sr,tl,6
tl,mk,8
be_x_old,az,6
br,sk,5
sk,la,10
USA,arz,24
Canada,arz,24
cs,ms,22
br,la,8
he,cs,20
sr,ro,14
eo,nds_nl,9
pt,gl,44
gl,ja,9
ja,br,5
tl,lmo,10
lmo,ia,7
sr,ky,8
eo,Spain,30
eo,Mexico,30
ht,ja,5
no,tr,20
eo,nn,7
pcd,lb,16
ht,pl,29
ast,USA,12
ast,Canada,12
de,hr,32
hr,ro,5
he,be,6
hu,he,5
ko,simple,11
it,fy,6
fy,eu,8
hu,fa,22
br,ms,12
China,sr,32
Spain,qu,9
Mexico,qu,9
qu,de,22
de,qu,27
qu,USA,9
qu,Canada,9
fa,ja,24
ru,gl,16
gl,it,9
vi,de,10
de,kk,7
br,France,5
br,Canada,5
sq,tr,9
sr,ta,8
ta,tr,8
USA,ta,12
Canada,ta,12
se,no,34
Spain,gl,38
Mexico,gl,38
sl,France,11
sl,Canada,11
stq,Spain,7
stq,Mexico,7
eu,da,31
pt,China,86
id,pl,24
ta,ml,7
th,ja,24
ja,bpy,17
bpy,ar,9
ar,lo,15
lo,it,11
tr,pl,31
pl,azb,30
ru,sq,7
ro,ur,7
ru,hi,10
ja,hu,17
France,gl,17
Canada,gl,17
gl,de,24
eo,bg,6
bg,Sweden,25
cs,no,35
no,he,20
he,et,16
et,lv,8
simple,fi,7
ru,hr,16
da,uk,18
oc,ca,12
lt,sr,8
el,ko,11
mr,th,6
ms,min,24
br,ga,12
mk,sq,5
fa,Netherlands,16
ru,lt,37
zh_yue,Spain,12
zh_yue,Mexico,12
et,pt,13
ru,he,27
he,ko,5
Netherlands,ga,9
ar,USA,30
ar,Canada,30
sco,cs,5
br,USA,101
br,Canada,101
de,cy,104
USA,da,37
Canada,da,37
da,ja,8
ka,eo,19
eo,war,70
war,no,9
eu,ko,28
hr,uk,10
uk,Sweden,31
ar,io,6
eu,fa,39
la,uk,5
uk,nn,20
nn,sh,5
sh,sq,5
fa,gl,11
fa,cs,30
gl,nn,9
la,hu,11
pt,id,50
no,gd,36
gd,pl,7
nn,sco,9
sco,eu,24
is,fa,14
fa,lt,14
fi,sw,8
id,war,6
war,lt,11
lt,ka,8
simple,nn,28
sco,Spain,24
sco,Mexico,24
France,ga,18
Canada,ga,18
China,da,19
hy,vi,5
ja,cy,7
bm,nrm,5
cs,sl,9
sl,it,24
sk,de,27
sl,fi,8
ca,hu,32
qu,Spain,5
qu,Mexico,5
de,war,62
war,USA,25
war,Canada,25
qu,war,21
et,it,12
de,pms,19
pms,uk,5
Netherlands,sr,15
ja,eu,11
eu,Sweden,36
hu,ko,19
it,oc,6
USA,qu,18
Canada,qu,18
Netherlands,ceb,13
ru,sk,6
pl,af,6
af,Spain,5
af,Mexico,5
nso,et,29
lt,ca,24
China,tl,13
tl,id,14
USA,ka,13
Canada,ka,13
ka,mk,6
mk,China,5
vi,ceb,6
bug,ca,87
ar,hy,16
war,simple,9
Netherlands,fa,26
lb,az,49
fi,cy,7
cy,it,15
USA,sco,9
Canada,sco,9
simple,war,10
pt,vo,9
vo,qu,5
qu,lt,12
China,mk,5
tt,fa,11
ro,hu,45
pt,eu,22
eu,ms,92
la,oc,6
gl,tl,6
de,diq,11
diq,az,6
ru,af,5
cs,ja,31
Netherlands,az,12
de,gd,23
eu,it,70
bg,de,51
lt,pt,24
eo,eu,12
eu,ga,6
ca,gd,6
gd,China,7
Sweden,ga,7
it,sco,28
ga,gd,34
gd,fa,8
Spain,sco,13
Mexico,sco,13
sco,it,20
hy,lb,7
sco,nn,8
nn,ga,51
fa,sr,8
USA,ga,29
Canada,ga,29
ga,ru,21
de,eu,25
ga,de,29
France,eu,25
Canada,eu,25
USA,gd,39
Canada,gd,39
gd,ga,39
de,sco,16
sco,fa,61
it,eu,35
gd,eu,18
gd,Spain,9
gd,Mexico,9
USA,lt,54
Canada,lt,54
ro,az,7
uk,ga,7
de,gl,30
gl,France,14
gl,Canada,14
Netherlands,gd,17
no,simple,15
simple,sco,6
ga,it,25
Sweden,lt,16
lt,id,9
id,sh,9
sh,eu,15
la,eu,5
USA,pam,31
Canada,pam,31
pam,vi,12
af,ro,19
hak,it,6
nds_nl,vo,5
ca,it,55
tr,af,5
fi,el,9
simple,cs,8
azb,France,22
azb,Canada,22
de,als,120
sl,Netherlands,25
hr,cs,15
sl,ru,18
sl,mk,21
ja,th,7
sl,Sweden,30
uk,sh,34
sh,USA,13
sh,Canada,13
id,fi,16
Netherlands,oc,10
Sweden,nds,5
he,azb,7
azb,ar,10
ar,ml,5
mk,ko,5
gd,ca,6
cs,sco,6
et,sr,12
eo,hy,13
USA,bs,12
Canada,bs,12
bs,sl,6
sl,el,6
el,ar,12
sh,sl,17
Netherlands,sk,15
war,uk,22
bs,cs,9
uk,nds,5
Sweden,cs,36
cs,eu,10
France,hi,8
Canada,hi,8
sl,sr,17
bs,France,5
bs,Canada,5
ar,Sweden,14
Sweden,arz,9
hr,sl,11
bs,hu,28
sk,it,8
sr,de,32
bs,Spain,16
bs,Mexico,16
war,ro,5
fa,simple,15
pl,bar,6
bar,it,7
pl,he,22
it,arz,30
Netherlands,br,5
sl,ja,7
USA,simple,79
Canada,simple,79
simple,sr,14
uk,ja,27
azb,ga,5
simple,no,17
sh,cy,5
cy,de,29
ar,eo,18
it,lt,35
lt,ko,16
pt,th,17
lt,da,11
ar,tt,6
bg,lt,13
br,it,9
pt,ca,108
ca,id,9
id,eu,8
ar,gl,5
gl,ru,20
ru,ka,34
gl,China,14
China,se,10
se,eu,5
nn,hy,12
ka,tr,10
uk,sl,10
pl,ta,8
lv,Sweden,5
ar,vi,29
bg,ce,6
sr,nn,5
pl,br,6
br,fi,6
ca,af,7
gl,cy,25
war,bg,7
eo,fi,12
Netherlands,da,30
da,bg,23
da,lt,8
ko,he,5
id,th,5
uk,wuu,5
China,af,5
sk,ru,23
de,be_x_old,5
be_x_old,be,30
bar,bg,7
eo,hr,16
el,arz,13
it,tt,6
it,gl,14
gl,fi,5
fi,eu,7
fa,ms,8
ceb,ca,5
ms,et,37
la,fi,12
de,bar,23
jv,uk,14
szl,et,11
pl,az,8
France,mrj,113
Canada,mrj,113
mrj,lbe,29
China,min,5
pt,arz,17
et,ca,8
ca,fa,39
ms,fy,5
jv,pt,6
pt,war,10
eu,af,8
ja,gl,9
vi,pt,9
Spain,el,11
Mexico,el,11
it,scn,8
scn,de,5
pl,ko,36
ko,lt,18
bg,sk,9
sk,Spain,18
sk,Mexico,18
ru,br,5
br,pl,5
ca,sr,12
de,br,14
gd,kw,14
ro,pt,48
France,lt,41
Canada,lt,41
br,tr,6
USA,cy,28
Canada,cy,28
cy,bg,5
ja,da,6
sr,lt,5
hr,ko,13
ko,eo,16
eo,br,8
Sweden,he,12
eu,th,6
th,ar,11
lt,cs,16
cs,ca,47
ca,fi,24
frr,ar,5
id,simple,9
ca,ur,6
ru,ko,56
cy,no,11
lt,Sweden,16
pl,eu,22
eu,bg,10
br,ko,5
vi,fa,15
tr,no,17
fi,ko,23
id,be,6
be,eo,6
vo,Netherlands,7
Spain,cy,16
Mexico,cy,16
ja,ga,6
ca,ko,21
bg,gl,6
la,fa,10
lt,hr,7
hr,bg,9
bg,pnb,5
sh,bs,9
bs,China,17
ro,ja,9
hi,Sweden,6
Sweden,vi,14
fi,da,18
no,gl,14
it,nds,6
br,eu,13
tr,cy,7
ar,th,12
sl,hr,8
uk,simple,17
fa,zh_yue,19
sr,oc,5
fi,ja,17
lt,ms,7
cs,szl,5
szl,Spain,6
szl,Mexico,6
fi,la,8
uk,hr,9
la,frp,6
mk,eo,6
ja,vi,16
simple,ja,8
th,et,8
pl,sl,10
simple,hu,16
crh,USA,7
crh,Canada,7
de,nds,84
Sweden,szl,8
it,ceb,18
ru,id,40
br,da,5
lt,hu,7
it,vi,25
vi,gl,7
mk,is,5
el,fa,11
ar,sh,10
sh,az,7
ms,wuu,8
pl,nn,16
nn,da,17
China,ka,21
ka,be_x_old,8
tt,ms,5
fa,el,8
bg,ht,8
eo,sw,7
no,sw,5
tr,ro,10
USA,ko,47
Canada,ko,47
vi,id,11
id,ko,20
ko,th,10
Netherlands,gl,13
sq,eo,6
ca,no,26
tr,war,22
USA,af,30
Canada,af,30
pnb,ru,18
hy,pt,6
pt,lt,17
bg,id,16
id,ga,5
eu,br,5
br,fa,7
cs,sh,15
sh,Sweden,8
pnb,ms,63
id,ms,67
it,ka,21
ka,ca,15
ca,br,12
vo,France,5
vo,Canada,5
sh,pt,15
fy,pl,7
pl,stq,5
da,hu,12
nn,jv,5
nn,USA,29
nn,Canada,29
de,ku,7
sr,et,11
el,ru,12
ka,Spain,16
ka,Mexico,16
vo,it,5
simple,is,5
is,fo,6
bg,et,8
et,be,6
be,fa,6
he,szl,12
no,cs,17
sw,Netherlands,6
USA,vo,13
Canada,vo,13
fi,et,17
et,arz,5
ko,gl,13
gl,fa,11
USA,tl,11
Canada,tl,11
tl,it,5
de,af,41
hu,ca,25
af,USA,13
af,Canada,13
ru,nso,5
nso,st,5
af,nso,7
id,ja,17
pl,mk,9
mk,fa,6
nso,ru,5
no,sr,10
ru,mk,12
China,nso,21
nso,it,14
Netherlands,cs,66
af,ru,13
de,nso,5
nso,ve,5
ro,af,9
af,Netherlands,15
Netherlands,nso,10
France,nso,10
Canada,nso,10
Netherlands,af,14
af,de,13
USA,hr,39
Canada,hr,39
hr,sr,19
ja,ro,14
fi,he,6
he,lt,8
br,cs,5
st,et,5
Spain,hr,11
Mexico,hr,11
nn,Netherlands,19
th,pt,11
ko,France,35
ko,Canada,35
eo,ka,28
pt,ms,160
fy,ca,6
da,eo,9
el,Spain,15
el,Mexico,15
Spain,wuu,8
Mexico,wuu,8
de,ka,32
nds,ar,6
uk,lt,27
ca,ro,23
France,ka,48
Canada,ka,48
hu,bs,13
ru,tt,6
simple,tl,5
fa,hi,5
hu,Sweden,29
Sweden,sh,9
sh,it,12
id,he,15
he,lv,7
pl,szl,8
it,mr,7
mr,ca,9
ru,ta,8
he,pl,15
pl,ka,14
ga,eu,25
Spain,ha,5
Mexico,ha,5
cs,sq,8
ja,tt,5
fi,be,8
hr,hu,11
gl,uk,13
be,hy,7
ka,USA,8
ka,Canada,8
hy,Spain,9
hy,Mexico,9
Sweden,sw,5
sw,ms,6
simple,ca,8
la,pt,7
Sweden,cy,22
France,lb,15
Canada,lb,15
it,sl,19
io,Sweden,9
cs,simple,12
simple,azb,5
el,ca,11
Spain,af,8
Mexico,af,8
ja,sk,10
de,be,9
simple,ht,7
ko,id,19
id,hu,25
USA,an,8
Canada,an,8
an,Spain,11
an,Mexico,11
azb,pl,41
mk,bg,10
hr,China,16
sr,ka,17
ru,arz,12
war,azb,24
ru,be,37
ka,simple,5
Spain,an,5
Mexico,an,5
an,war,23
tr,az,18
be,it,5
hr,ca,9
sr,el,8
cs,tr,11
eu,vi,6
sh,ca,16
Spain,sh,14
Mexico,sh,14
azb,hu,5
vi,China,13
id,ar,18
ar,is,5
USA,diq,11
Canada,diq,11
diq,de,11
mrj,ckb,7
ckb,China,6
diq,tr,23
mrj,de,19
de,pnb,25
ca,sw,11
ms,az,10
az,no,8
ku,diq,17
ms,hy,14
hy,cs,14
el,az,5
he,hu,9
ja,jv,8
bg,hy,21
lv,hr,5
ku,sw,10
hr,Sweden,9
cs,fi,32
ku,tr,14
no,hy,20
uk,bs,19
pl,bs,9
bs,sr,18
ca,da,13
ro,sh,5
sh,hr,12
el,sl,5
sl,ar,6
ms,an,23
an,bug,18
eu,no,18
ko,sr,26
ca,an,58
an,ms,52
ceb,oc,8
oc,an,16
fa,ml,6
hy,pl,15
bs,uk,7
fa,sco,10
sco,el,5
simple,hy,9
it,ml,9
he,hy,6
ms,be_x_old,5
hr,da,7
no,id,14
ca,bug,81
cy,eo,5
ms,ro,8
fa,az,7
az,ko,6
pt,qu,10
hu,be,10
pt,el,28
el,id,10
id,jv,19
ar,ca,30
tr,fy,6
ce,France,5
ce,Canada,5
an,la,9
pl,tl,6
mk,th,6
th,ms,6
vi,uk,10
fi,China,43
be_x_old,ka,8
ko,hsb,5
he,uk,19
de,crh,20
ka,ar,21
eo,ko,14
Sweden,gl,24
gl,Spain,17
gl,Mexico,17
Sweden,pnb,7
pnb,ca,9
uk,az,8
be_x_old,cs,10
China,et,20
et,uk,11
he,hsb,5
hsb,it,11
zh_yue,ko,9
lt,USA,28
lt,Canada,28
bat_smg,be_x_old,5
Netherlands,lv,6
ca,be,10
be,uk,21
et,pl,106
el,Netherlands,11
be_x_old,de,6
China,lv,14
gl,hu,6
af,et,5
Spain,az,9
Mexico,az,9
lv,ru,16
et,be_x_old,5
be_x_old,France,14
be_x_old,Canada,14
sr,Netherlands,11
ru,pnb,16
lv,et,5
be,he,8
ky,war,5
pl,sk,21
ja,ca,24
hu,sh,12
sh,da,7
simple,la,6
eu,eo,13
cs,id,10
lbe,pnb,17
no,ku,6
ru,is,6
sw,China,8
pt,mrj,7
ms,diq,9
Netherlands,sw,14
lbe,China,6
ku,de,37
ms,uk,24
no,el,12
diq,France,5
diq,Canada,5
France,sw,16
Canada,sw,16
de,mrj,5
fa,no,27
ku,France,7
ku,Canada,7
pl,sw,6
mrj,China,10
fa,he,107
sw,mrj,8
Netherlands,ar,25
pl,hy,15
hy,no,18
ms,USA,126
ms,Canada,126
sw,de,27
no,diq,5
hy,ar,13
no,arz,5
Sweden,mk,9
ku,USA,5
ku,Canada,5
tr,sw,7
tr,ku,11
vi,el,6
th,Netherlands,5
hu,el,13
ms,ka,31
min,no,12
France,ku,6
Canada,ku,6
Spain,ast,19
Mexico,ast,19
ast,de,8
eu,ka,6
ar,bs,7
hr,lt,7
China,hak,5
hr,tr,7
China,sl,7
eu,gl,16
Sweden,fo,13
eo,arz,6
az,ru,12
vi,France,16
vi,Canada,16
ar,ko,25
hu,sr,32
szl,simple,5
Spain,pnb,11
Mexico,pnb,11
Netherlands,cy,8
cy,fa,7
lb,France,12
lb,Canada,12
fa,sw,13
sw,tl,6
nn,ko,11
ca,oc,45
lt,fa,19
tt,ar,5
it,ur,7
el,tr,14
ka,pl,8
simple,ar,13
ru,sl,15
USA,gl,11
Canada,gl,11
gl,pt,24
ms,sl,15
nds,tr,7
io,ca,6
cs,tl,5
tl,ja,9
hu,gl,7
gl,hr,5
sr,bg,17
oc,az,5
vi,frp,12
ku,ilo,5
th,cy,10
cy,pms,9
kg,dv,7
ie,bat_smg,10
sah,lmo,8
war,pnb,10
bjn,xal,10
xal,ext,8
mg,sn,5
bxr,pa,14
om,bh,7
bh,vep,5
he,nn,5
nn,eo,29
pam,Spain,15
pam,Mexico,15
France,als,8
Canada,als,8
Spain,bs,7
Mexico,bs,7
bg,sq,8
fa,lb,6
cs,bs,10
lt,sl,5
id,eo,9
China,fa,67
ru,be_x_old,8
de,szl,14
it,lv,6
USA,tg,48
Canada,tg,48
tg,Sweden,5
szl,fa,8
az,bg,5
mk,Spain,6
mk,Mexico,6
sr,he,13
ms,lt,10
ru,tl,9
lt,be_x_old,5
be,ru,9
af,pl,7
ja,sh,15
ar,mk,7
mk,af,12
sk,pl,19
als,France,5
als,Canada,5
sr,fy,7
als,de,5
pl,nds,6
nds,USA,10
nds,Canada,10
la,ja,11
sk,nds,6
id,it,32
USA,als,9
Canada,als,9
gl,bg,5
tr,cs,14
se,ht,5
th,simple,6
tl,sh,8
la,ga,14
frp,wo,10
new,lij,7
lij,cy,5
pms,ast,5
ast,nov,5
ln,ug,6
crh,kg,5
bat_smg,nso,7
gv,ceb,8
ceb,als,6
hy,be,6
hsb,sn,6
lrc,om,7
jam,kbp,7
kbp,ig,8
sm,gn,6
ms,it,12
ro,sw,12
lv,USA,16
lv,Canada,16
simple,fa,36
France,sk,15
Canada,sk,15
he,eo,14
mr,fa,5
sco,ca,5
ro,hr,7
tl,France,9
tl,Canada,9
xmf,it,6
hy,azb,6
pl,et,28
sco,France,8
sco,Canada,8
da,ro,13
eo,la,15
it,hi,11
France,mr,6
Canada,mr,6
ru,ur,8
ms,fi,9
pt,bn,5
de,hi,10
ar,ms,16
China,mr,7
Spain,ta,6
Mexico,ta,6
ta,ms,5
ms,ta,7
hi,fa,5
pt,et,17
ca,eo,42
war,id,6
tl,ar,8
ar,eu,11
Netherlands,pam,5
hi,ca,5
azb,tt,5
ta,pl,5
mwl,China,7
war,mwl,5
uk,gl,7
gl,da,5
ar,simple,14
fa,vi,9
uk,hi,14
de,gu,8
it,tg,8
Netherlands,jv,6
tr,el,13
pnb,sl,6
nds,de,7
sr,pt,12
be,pl,11
Spain,ht,12
Mexico,ht,12
ar,sr,6
lt,lv,10
fi,lt,22
lt,tt,6
Netherlands,ht,7
id,pt,18
pl,ga,10
ru,kk,8
sk,hr,10
hr,Netherlands,12
ko,ro,5
ms,eo,11
eo,sco,7
tg,pl,9
USA,azb,5
Canada,azb,5
uk,be_x_old,7
China,zh_min_nan,15
sh,af,5
kw,oc,6
crh,dv,6
qu,ml,6
jv,scn,5
pi,mrj,5
ig,olo,8
da,fa,13
war,cs,13
azb,Sweden,6
sr,ceb,11
la,France,18
la,Canada,18
eu,el,6
gd,Netherlands,6
lt,ja,13
sh,sco,7
ms,gl,18
fy,war,5
ar,da,15
ga,simple,12
cs,la,21
USA,la,16
Canada,la,16
pl,cy,11
Netherlands,nds_nl,7
de,nds_nl,6
fy,ru,5
el,ro,6
sq,bg,28
ko,mk,5
lt,sco,5
he,pt,17
tg,it,10
id,ca,47
ca,sk,6
et,ja,9
os,war,9
Sweden,be,5
he,ka,14
da,sq,5
fi,oc,5
th,el,5
zea,vo,6
ms,br,18
br,ca,15
af,no,7
fa,be,11
ka,xmf,8
pt,mk,11
mk,uk,10
uk,sq,8
sq,ms,7
he,ja,15
la,lb,29
id,vi,16
pt,be,5
sr,sh,29
mk,cs,6
sq,hy,16
it,lmo,6
ro,la,43
USA,te,5
Canada,te,5
bg,la,21
sw,pl,5
ka,ru,14
ja,simple,6
simple,Sweden,20
be,ar,5
hy,szl,7
eu,ar,9
gl,br,11
nds_nl,ar,6
la,tr,5
eo,gl,7
sw,ka,7
hy,ca,8
szl,tr,5
ast,Spain,6
ast,Mexico,6
bg,eu,6
tr,id,32
ms,tl,25
et,id,5
ca,lb,5
eu,USA,16
eu,Canada,16
sr,war,10
tl,pl,15
sr,sl,11
pt,az,5
tr,la,6
hi,ht,5
tr,bar,5
vi,hu,11
sl,bg,5
da,ko,10
it,sw,7
da,id,5
cy,he,5
he,fi,8
gl,cs,13
ia,ht,5
az,sh,9
af,an,5
ka,be,9
ext,ss,5
ml,pa,5
ur,ru,6
pnb,ko,9
ko,sh,11
sh,vi,17
io,USA,14
io,Canada,14
uk,mk,5
cs,cy,5
pt,tg,7
tg,ar,16
mk,az,6
sh,Netherlands,34
vec,la,10
war,sl,21
sl,sk,6
ru,ba,5
az,Spain,11
az,Mexico,11
hy,lt,6
France,az,15
Canada,az,15
bs,USA,6
bs,Canada,6
uk,el,10
hy,id,6
af,sr,5
France,bs,5
Canada,bs,5
war,Netherlands,9
he,ms,7
th,USA,9
th,Canada,9
szl,ar,6
he,simple,6
hy,az,23
az,pl,7
hr,France,24
hr,Canada,24
USA,bn,5
Canada,bn,5
France,udm,5
Canada,udm,5
no,sk,14
vi,hak,5
de,ta,5
ms,tr,7
el,bg,10
pt,bat_smg,25
pt,szl,5
lv,sr,24
nds,eo,5
hsb,Spain,6
hsb,Mexico,6
hi,Spain,7
hi,Mexico,7
USA,ml,6
Canada,ml,6
mk,lv,5
China,wuu,9
nn,tr,5
fa,pa,5
az,ka,5
da,be,5
ko,USA,40
ko,Canada,40
no,be,8
da,gl,5
simple,ko,9
eu,sco,32
ru,sh,12
France,sco,14
Canada,sco,14
lt,sq,9
sq,ro,6
ro,hy,10
tl,ht,10
frp,sw,5
ilo,new,9
ceb,mt,5
wuu,zh_yue,5
gag,rw,6
eu,id,6
id,ur,5
ur,ja,16
lt,nn,9
io,se,5
it,tl,5
tl,uk,5
Netherlands,sl,11
lv,ro,8
tr,arz,5
hy,Sweden,8
ro,cy,8
uk,la,5
cy,France,14
cy,Canada,14
ka,pnb,5
ca,gl,12
cs,br,6
sl,fa,9
cy,lt,6
ka,ko,6
ru,azb,6
ga,sco,38
sco,gd,5
cy,nn,5
nn,la,6
gd,no,8
ga,az,6
sco,ko,12
it,ga,44
la,eo,12
frp,lb,7
Sweden,pms,5
bs,bg,5
ka,pt,9
no,lb,5
id,sr,12
sq,fa,8
fa,lv,8
be_x_old,et,5
ur,fa,8
simple,gd,7
Netherlands,vi,6
USA,kn,6
Canada,kn,6
China,vo,6
China,ht,8
he,ar,19
vi,io,5
ta,ar,7
ka,lt,6
China,az,11
sl,uk,10
tl,no,8
pl,th,7
lv,it,6
Sweden,el,13
gd,nn,20
gl,lv,7
lv,nn,5
eu,de,6
id,USA,21
id,Canada,21
gl,pl,8
gd,Sweden,5
ja,roa_tara,22
hr,he,5
da,ka,5
id,cy,7
USA,sq,7
Canada,sq,7
France,mk,7
Canada,mk,7
pl,war,18
eo,rue,6
rue,ms,6
sq,sh,10
sh,tr,9
uk,be,14
bug,ru,6
eo,no,14
tr,sh,5
el,sk,9
