Property,Graph1,Graph2
Density,0.5361344537815126,0.5361344537815126
Average Clustering Coefficient,0.8137427437836506,0.8137427437836506
Diameter,4.0,4.0
Average Shortest Path Length,1.5310924369747898,1.5310924369747898
Average Degree Centrality,0.5361344537815126,0.5361344537815126
