Country1,Country2,Weight,Geographical_Distance
France,Yemen,9,5395.302684559582
Spain,France,11,976.2843741584753
Uganda,India,7,5524.300941087797
France,Zambia,16,7240.673385029148
Serbia and Montenegro,Slovakia,11,579.6797602406564
Vietnam,Slovakia,11,8586.607858086478
Denmark,"Korea, North",10,15894.40033366837
Vatican City,Uganda,7,4889.601211940453
United Kingdom,Palestinian territories,5,3935.355222195029
Palestinian territories,Finland,8,3557.9416249489423
India,India,9,0.0
Mauritius,Uzbekistan,6,6851.2544633581765
Uzbekistan,Yemen,16,3168.996944383872
Georgia,Estonia,11,7960.410122664469
Vietnam,Georgia,15,14536.333557370892
South Africa,Serbia and Montenegro,5,8032.006516194472
Palestinian territories,Singapore,7,7943.65869151942
Georgia,Georgia,23,0.0
Croatia,Vietnam,24,8943.25928056506
Switzerland,Spain,5,1347.0414293006238
Trinidad and Tobago,Estonia,7,8786.067689837211
Zambia,Malta,6,5747.405837998252
Georgia,India,5,13652.546044363835
Denmark,India,5,6630.62733705644
"Korea, North",Zambia,40,12236.658925097896
Denmark,Spain,5,2136.2980706847115
Mauritius,Indonesia,16,6829.768319040587
Ukraine,Vatican City,5,1684.035983972222
United Kingdom,Vietnam,14,9876.01166582161
India,"Korea, North",6,9744.590979030636
Palestinian territories,Yemen,19,2152.491671594591
Spain,Yemen,7,5687.354487296831
Vietnam,Georgia,11,14536.333557370892
Slovakia,Ukraine,10,865.9144095091327
France,Switzerland,6,485.51004610806035
Croatia,Palestinian territories,5,2248.308620036817
Denmark,India,5,6630.62733705644
Ukraine,India,14,5108.436320165856
India,France,12,7245.67339386197
Vietnam,Uganda,5,8445.48575769373
India,Vietnam,11,3157.4330577428886
Spain,France,8,976.2843741584753
India,Switzerland,9,6760.482206960229
Spain,Iceland,5,2981.4570476928834
Serbia and Montenegro,Vatican City,8,583.2240120413434
Georgia,Spain,11,6892.8627004519385
France,Slovakia,5,1337.1474989840494
France,Yemen,7,5395.302684559582
Indonesia,Croatia,9,11161.624592090282
Croatia,"Korea, North",20,15879.37161355326
Palestinian territories,Uzbekistan,17,2789.5529030234243
Trinidad and Tobago,France,7,7091.350339097656
Vietnam,Croatia,5,8943.25928056506
Estonia,Uganda,9,6374.014924863604
Slovakia,United Kingdom,5,1695.2864733811057
France,Georgia,5,7126.846529069856
Georgia,India,6,13652.546044363835
Croatia,Estonia,13,1626.730192143147
Spain,Yemen,10,5687.354487296831
Vatican City,United Kingdom,7,1831.7290870361687
France,Vatican City,14,991.0045331881425
Vietnam,Spain,5,10753.523340840331
Finland,Spain,6,3352.200209698365
Serbia and Montenegro,South Africa,5,8032.006516194472
Nigeria,India,9,7633.920495214834
Indonesia,Malta,6,11385.537571470331
Singapore,France,51,10810.20789919006
Estonia,Georgia,6,7960.410122664469
France,Uzbekistan,5,4885.696419746073
"Korea, North",Slovakia,11,15537.11955277216
India,Georgia,5,13652.546044363835
United Kingdom,Vietnam,9,9876.01166582161
Malta,Vietnam,5,9298.89254324094
Vatican City,Slovakia,5,936.5153953991669
Finland,Georgia,11,7722.975281582525
Singapore,"Korea, North",8,6170.786918233715
Nigeria,Georgia,6,9552.951016803554
Indonesia,Serbia and Montenegro,7,10899.49163634542
France,Spain,5,976.2843741584753
Denmark,Vietnam,5,9029.085294995677
Vietnam,Trinidad and Tobago,8,16821.321241398375
"Korea, North",Croatia,10,15879.37161355326
Croatia,Vietnam,8,8943.25928056506
Switzerland,Croatia,9,595.7615603860958
Vietnam,United Kingdom,6,9876.01166582161
Uganda,Ukraine,6,5315.023599284925
Vietnam,Nigeria,7,10776.40158963392
South Africa,Singapore,5,8999.252213065834
Denmark,Palestinian territories,5,3277.570677032637
Spain,Zambia,20,6844.596892310349
Vatican City,Georgia,13,8109.961742742154
Uzbekistan,United Kingdom,15,5019.308192860889
Mauritius,Croatia,6,8415.157802147816
Ukraine,Vietnam,21,7720.702860629765
Spain,Georgia,5,6892.8627004519385
Ukraine,Spain,5,3054.233781920821
Vietnam,Finland,5,8039.0830551007775
India,India,7,0.0
Finland,Croatia,6,2093.3039418151097
Croatia,Georgia,5,8151.2342694061
Mauritius,Georgia,9,15907.268108306222
Switzerland,Georgia,12,7567.04386841113
Croatia,Vietnam,5,8943.25928056506
Slovakia,France,9,1337.1474989840494
Georgia,Ukraine,9,8875.204301037045
United Kingdom,"Korea, North",6,16664.63729471699
Yemen,Mauritius,6,4186.911030066042
Indonesia,Uzbekistan,5,7287.723507718363
Georgia,Malta,5,8590.242669654004
Nigeria,Ukraine,5,4920.545303992244
Georgia,India,7,13652.546044363835
France,Croatia,5,1074.3259384398502
Palestinian territories,Serbia and Montenegro,7,1898.6368703954217
Vatican City,Iceland,5,3208.753469731129
Switzerland,Uzbekistan,13,4411.295136170404
Iceland,Mauritius,5,11376.629563602333
Denmark,Serbia and Montenegro,6,1492.781126055661
Slovakia,India,5,5930.237418499274
Malta,Yemen,5,3952.807477943567
Spain,Slovakia,6,2196.7610401758125
Eritrea,Ecuador,5,12982.495403107388
Vatican City,Vatican City,9,0.0
Uzbekistan,Malta,5,4295.427076799635
India,Indonesia,5,5070.1577239559565
Vietnam,Mauritius,7,6811.32411207257
India,Spain,6,7932.8822646320405
Estonia,Mauritius,5,9244.88310072594
Singapore,Trinidad and Tobago,5,17882.361913607252
South Africa,Nigeria,7,4626.319595226992
Nigeria,Yemen,8,4384.549936847959
Vietnam,Georgia,6,14536.333557370892
Ukraine,Uzbekistan,5,2689.45609526176
Vietnam,Uzbekistan,7,5063.994984218676
Slovakia,Iceland,7,2847.4021663551384
Iceland,Switzerland,7,2571.007554249979
Zambia,Iceland,8,9611.81099470549
Iceland,Zambia,6,9611.81099470549
Nepal,Vietnam,6,2821.8931199344393
Vatican City,India,5,6446.402480107052
Finland,Slovakia,8,1662.6884730708862
"Korea, North",Croatia,7,15879.37161355326
Uganda,Slovakia,5,5372.267186095049
Georgia,Singapore,8,16205.69291843312
Spain,Serbia and Montenegro,5,2057.072293102796
Iceland,United Kingdom,5,1407.8662629016308
Mauritius,Yemen,7,4186.911030066042
India,Slovakia,5,5930.237418499274
Zambia,Croatia,7,6739.295022046885
Uzbekistan,Indonesia,6,7287.723507718363
India,Georgia,6,13652.546044363835
Yemen,India,5,3294.980508045432
Palestinian territories,Vietnam,7,7512.772579443736
Estonia,Iceland,6,2335.7539872041125
Switzerland,Mauritius,6,8925.077197506364
Indonesia,Rwanda,14,9767.660093419907
Rwanda,Estonia,31,6745.3161391861495
Vatican City,Rwanda,6,5172.9760445599695
Slovakia,Uzbekistan,5,3548.548941298152
Serbia and Montenegro,Vietnam,11,8707.809919085605
