Language,Vector
nowiki,"[ 0.06657133  0.04327587  0.2220071   0.22339605 -0.09796236 -0.04651547
 -0.03837554 -0.05822826 -0.09820329 -0.06058173  0.02548372  0.03845273
 -0.19814281 -0.12747942  0.14235526  0.26914114  0.23627187  0.05851135
  0.0248285   0.14184023 -0.03307054  0.13099255  0.34896183 -0.2312818
 -0.01961524  0.0296392  -0.3074962  -0.00487363  0.11037388  0.16109848
 -0.00260852  0.10920962 -0.07380467  0.1585832  -0.20299768 -0.09829933
  0.02525257  0.07537974  0.15726154 -0.24052738  0.05735088  0.01763692
 -0.02145112 -0.11551099 -0.0025375  -0.0376101  -0.00831845  0.04648461
  0.06217784  0.17101218 -0.36047313  0.01229968  0.12435465  0.07129388
  0.16415559  0.09894261  0.02841204  0.14935425 -0.08792649  0.16539326
  0.03046416 -0.11108933 -0.24382886 -0.02716215]"
bgwiki,"[ 0.13398916  0.02237784 -0.07056429  0.28184637 -0.04354683 -0.23148227
 -0.11559355 -0.06828877 -0.20240934  0.01160247  0.03309094  0.1357274
 -0.15001102  0.16939634  0.11990011  0.3323838   0.18330199  0.01113597
 -0.04381781  0.10263076 -0.0236384   0.08107811  0.12610233 -0.17083175
  0.06106975  0.21070738 -0.01967986 -0.10275199  0.09860733  0.02968261
  0.13640298  0.06775356 -0.00764011 -0.01499893 -0.14479448 -0.20597143
  0.04401315  0.13312598 -0.08956721  0.11937603 -0.03195193  0.09873205
  0.25654566 -0.15930828  0.09610448  0.16967812 -0.1801937   0.09448724
  0.00896408  0.10094401 -0.05383649  0.05628688  0.06545607  0.1955585
  0.12584482  0.00371156  0.27459088 -0.085503   -0.3791245   0.13119173
 -0.05427897 -0.02082236 -0.09973755  0.03374138]"
ukwiki,"[ 1.70022503e-01 -1.85508043e-01  2.20153645e-01  1.56247124e-01
  1.61564257e-02 -1.56842679e-01 -2.39827763e-02 -2.15178654e-01
 -2.20068485e-01 -3.02665308e-02  1.58051684e-01 -5.88429086e-02
 -1.66013181e-01  1.83893740e-02  3.95762324e-02  2.39785209e-01
  4.86941375e-02 -8.23155269e-02 -2.69145388e-02  1.66996881e-01
 -6.38573468e-02  1.79387003e-01  4.64635342e-02 -8.30303505e-02
 -1.20203227e-01  1.87162623e-01 -1.38085559e-01 -1.20528275e-02
 -1.49156973e-01 -1.69264585e-01 -4.38152589e-02  5.17908297e-02
 -6.78566247e-02 -2.09172089e-02 -6.95653185e-02 -1.48114860e-02
  6.34408593e-02  1.89382732e-01  8.81610438e-02 -2.99525214e-04
  4.57441993e-02  1.35708019e-01  2.80270398e-01 -9.65948477e-02
  8.35938975e-02  4.71690483e-02  1.96839571e-02 -2.08940692e-02
 -1.09301321e-01 -9.29051414e-02 -1.11961938e-01  1.41265627e-03
  5.17942198e-02  3.04247022e-01  4.99865832e-03  1.21585995e-01
  1.43795326e-01 -1.42915830e-01 -1.69976786e-01 -1.34780584e-03
  3.13689150e-02 -4.62537594e-02 -2.74883807e-01  8.67779404e-02]"
ruwiki,"[ 0.12420592  0.04938187  0.14572196  0.39086422 -0.0804042  -0.27586973
 -0.03290777 -0.13390253 -0.1104853   0.00219686 -0.13323905  0.01147589
 -0.13728085 -0.23114756  0.08136607  0.24696758  0.250942    0.10661323
  0.05951966  0.22181247  0.03608629 -0.00875974  0.08844412 -0.03087119
  0.12477604  0.3180697  -0.04052433  0.07259906 -0.02409967 -0.31609818
 -0.05451354  0.20471728 -0.02846613  0.18318093 -0.11771207 -0.16374262
 -0.17737348  0.26346076 -0.2692183  -0.1017976  -0.02647035  0.04607932
 -0.01657342  0.01855214  0.05638142 -0.12749805 -0.16197143  0.10017785
 -0.05384116  0.18163443  0.11873688 -0.10353505  0.10867176 -0.01793182
  0.01828649  0.06222804  0.17038706 -0.04903718 -0.12780808  0.1011642
  0.11126602 -0.18044175 -0.08247674  0.08797603]"
trwiki,"[ 0.14476131  0.1783887   0.16664617  0.26960245 -0.23432809 -0.15111455
 -0.12581839 -0.194465   -0.21500818 -0.12643224  0.17226525  0.09436323
 -0.02716656 -0.30177492 -0.1592192   0.10878547  0.33975047  0.15638301
 -0.03288243  0.08446849 -0.01839553  0.08292063  0.1878647  -0.01786918
 -0.0762543   0.36538064 -0.16738957  0.02647883  0.07514068  0.00530387
  0.01459171  0.09561235  0.16783583 -0.09598164  0.07430916 -0.02559857
  0.15093741 -0.07404172  0.0624564   0.07086273  0.04272226 -0.10762109
  0.06239809 -0.28617635  0.00293663 -0.02887371  0.02635401 -0.17389087
 -0.00080561  0.05704033 -0.32942048 -0.05564499  0.05115802  0.12959129
  0.34329188  0.13360257  0.27847514 -0.00709515 -0.09029941  0.04487636
  0.06252158 -0.11547926  0.03592648  0.01045062]"
urwiki,"[ 0.02685896  0.14939237  0.09335944  0.256481    0.16966863 -0.390424
  0.02995003 -0.3203335  -0.04367296 -0.18482134  0.13097526  0.22934616
 -0.34189805 -0.14121021  0.12312531  0.23048532  0.3568562  -0.03357595
  0.10564219  0.33784908  0.07450247  0.37475067  0.35575473 -0.01360312
  0.14085191  0.15977846  0.01807269 -0.25135544  0.02611274  0.11413784
  0.11562525 -0.060305   -0.06892178 -0.09670963  0.00340759  0.21669666
  0.03102427  0.10261728 -0.12526536  0.06822162 -0.06998689  0.03715917
  0.3020246  -0.04103836 -0.10616754  0.17766292 -0.36295626 -0.1037992
 -0.10362338 -0.10358783  0.21423146 -0.08099206  0.22408523  0.05058266
  0.11887125  0.0012878   0.15533055  0.18335856  0.00733945  0.10185083
  0.00387836  0.1554699  -0.14431304  0.0440074 ]"
ltwiki,"[ 0.1849147  -0.07578414  0.18331455  0.17952144  0.02124551 -0.17466587
 -0.04234871  0.01688521 -0.08943264 -0.12411789  0.07275939 -0.09805308
 -0.22056323 -0.04911919  0.15838474  0.19841394  0.10925046 -0.12394107
 -0.07174566  0.1297183  -0.10192817  0.18545243  0.1372826  -0.02286139
 -0.07060866  0.28127468 -0.15421666 -0.03025283  0.04924969 -0.13310465
  0.0154134  -0.12350973 -0.00747568  0.08899534 -0.11520305  0.00466009
  0.04198801  0.05236235 -0.08534127 -0.0747249   0.08968079 -0.13020247
  0.1466239  -0.17574425  0.17043644 -0.0470014   0.06152953 -0.05355361
  0.09886553  0.23096961 -0.11745156  0.03335646  0.11644149  0.20523371
  0.11909313  0.12128346  0.05552313 -0.10970445 -0.2348694   0.02159186
  0.13860697 -0.00622025 -0.08974197 -0.07583118]"
glwiki,"[ 0.15502848 -0.07735746  0.24531908  0.11760991  0.04107676 -0.1570655
  0.06453089  0.04678962 -0.12145547 -0.12016192 -0.01094606 -0.10423478
 -0.2234647  -0.13107541  0.00232976  0.20644678  0.14806661  0.01905029
 -0.06691501  0.07315744  0.06984585  0.12530309  0.00295901 -0.07393425
 -0.00244231  0.21438035 -0.17771368 -0.04753823 -0.03712698 -0.1535427
  0.03277572  0.06250567  0.00317828 -0.16775596 -0.09798869 -0.08908293
  0.12962551  0.09695643 -0.02805103  0.02593381 -0.16996375 -0.07396581
  0.14674579 -0.16537666  0.11923683  0.147313   -0.00583482 -0.08886292
 -0.08431253  0.04105828 -0.08814512  0.1287307   0.14617322  0.16229855
  0.26148584  0.10266255  0.10064927 -0.05187257 -0.12327761  0.04884287
  0.07900362 -0.01440446 -0.15565562 -0.03409772]"
sqwiki,"[ 0.30711156 -0.18478805  0.11172216  0.23450421  0.0628236  -0.26016963
 -0.05761499 -0.01030953 -0.21379547 -0.18670037  0.02708622  0.07001549
 -0.08129176 -0.03895175 -0.05955153  0.26752993  0.14376387  0.1030345
  0.05547909  0.04079394  0.02840168  0.1655113   0.11043388  0.04582525
  0.04382033  0.31217906 -0.24629217  0.08293649 -0.00147665 -0.14813995
  0.029137    0.12638634 -0.08173866 -0.09633744 -0.18969804  0.00458732
  0.29092538  0.09046182 -0.04373715  0.0649236  -0.0666193   0.2058169
 -0.01671494  0.02011587  0.09144247 -0.01352638 -0.05891568  0.01447338
 -0.02705117 -0.01151307 -0.12322215  0.04359701  0.14997695  0.0549889
  0.08248628  0.04799488  0.13018645 -0.21701692 -0.12986204  0.21489117
  0.02081646 -0.02367395  0.02003216 -0.07123253]"
arwiki,"[ 0.06696194  0.06097024  0.20669669  0.42366296  0.0666222   0.13165046
 -0.18460849 -0.00266198 -0.3701488  -0.1668383   0.07000727  0.0149385
 -0.06058248  0.0971818   0.07843129  0.23524298  0.09488481  0.05424037
 -0.03068317  0.2384845   0.06666166 -0.12413421  0.09535961 -0.530599
 -0.11614275  0.21471189 -0.05305878 -0.04632794  0.07101338 -0.12812917
  0.07355469  0.21528202 -0.03917691 -0.141083   -0.05281984 -0.10454358
 -0.0733958   0.12885834 -0.00099039  0.04548021  0.07198108 -0.09856413
  0.50197154 -0.06208768  0.2634987   0.14586727 -0.10942258  0.0189706
 -0.02094189 -0.23231766 -0.10133245 -0.10834966  0.11361855  0.16170412
  0.11162596  0.23829581 -0.17667314 -0.06720646  0.01616047 -0.04502598
  0.06219752 -0.10705749 -0.06070464 -0.0669001 ]"
srwiki,"[ 0.16207382  0.05200399  0.26467067  0.21612912  0.06622279 -0.04897215
  0.0296797  -0.09705818 -0.18361072 -0.03589057  0.09669588 -0.14086044
 -0.20177327 -0.05292463  0.08376624  0.08638005  0.05797467  0.05380637
 -0.04025184  0.30687186 -0.11938033  0.164963    0.03891227 -0.06467016
  0.00136925  0.17267047 -0.11214022 -0.02050429  0.06237887 -0.14456886
  0.17491274  0.03636877 -0.02768492 -0.07519071 -0.15724611 -0.18393452
  0.02768773  0.10415632  0.01646351 -0.05685125 -0.15367393  0.02435471
  0.1439993  -0.12327734  0.14035697  0.05327855  0.0611385  -0.01701624
  0.03470034 -0.0148843  -0.08598813  0.02809263 -0.01484466  0.17347726
  0.21033832  0.05061145  0.1502478   0.10582354  0.01536278 -0.00717814
  0.10693946 -0.07596103  0.04072202  0.06032126]"
bswiki,"[ 0.17998303 -0.05217294 -0.02310054  0.31169206  0.00620901 -0.20985083
  0.1716572  -0.01525134 -0.25557244 -0.26003885  0.299136   -0.23182331
 -0.0914674  -0.01116677  0.18096115  0.24242221  0.28779384 -0.02238159
 -0.06380645  0.37525523 -0.24362949  0.14804651  0.28946474 -0.10256118
  0.18815616  0.115123    0.055668   -0.13800175 -0.00486952 -0.02088496
  0.09277024 -0.01411736  0.04989241 -0.11523308 -0.07774518 -0.06986964
  0.19134623  0.08145627 -0.02142307 -0.04925605 -0.18039699 -0.03243537
 -0.00339181 -0.08558403  0.16029876 -0.08902063  0.03051004  0.09837262
 -0.00590473 -0.05339513 -0.03306644 -0.17372826 -0.15663433  0.11739317
  0.13063458  0.18844582  0.0376154   0.00794134 -0.17948881 -0.07722601
  0.00365178  0.02848317 -0.06354393 -0.1848687 ]"
kawiki,"[ 0.12683544 -0.13983019  0.08239752  0.18058416  0.09207195  0.02199198
  0.04476223 -0.19129312 -0.20357348 -0.15537877  0.08288098 -0.2506291
 -0.23917533 -0.05854521  0.07300347  0.18180215 -0.04197424  0.13732673
  0.02017767  0.0605027   0.13053821  0.34275392 -0.03539309 -0.180543
 -0.03227537  0.28399536 -0.03951527 -0.31089157  0.08833031 -0.07335552
 -0.16794918  0.08129266 -0.33158746  0.04863391 -0.10252283 -0.01124599
  0.05752154  0.01226348 -0.06915466 -0.23286349  0.05332533  0.2645121
  0.10685945 -0.19491144 -0.13843128  0.02704219 -0.07940113  0.1829582
 -0.11501519 -0.05694779 -0.18606175 -0.04315202  0.34714195  0.32530215
  0.16665518  0.11870577 -0.14212078 -0.01797087 -0.13803896 -0.02390194
  0.01190837 -0.09089881 -0.20152903 -0.09947389]"
