Language,Vector
euwiki,"[ 0.08717085  0.10222878  0.05316046  0.22830799 -0.07377612 -0.21421711
  0.15908165 -0.10664494 -0.15080573 -0.21638705  0.11178484  0.06799643
 -0.26641878 -0.00375687 -0.02425714  0.04334572 -0.1897474   0.08933555
  0.07475984  0.13575189 -0.02167367  0.18703009  0.22971892 -0.28509393
  0.00707213  0.17641698 -0.03546289  0.1435251  -0.05580012 -0.09376099
 -0.0143297   0.17328167 -0.13816889 -0.10686997 -0.12323198 -0.19330174
  0.16543871  0.00768424 -0.07304604 -0.20141672 -0.08728469  0.02365885
  0.10016154 -0.10688141 -0.01210609  0.16684856  0.14416173 -0.09180906
 -0.01165252  0.12235716 -0.02740962 -0.1902971   0.1003248   0.00729549
  0.0983177   0.15082484  0.11037453  0.1344069  -0.12139627  0.16842566
  0.14325298 -0.09844081 -0.16285975  0.04102214]"
rowiki,"[ 0.14773493  0.05082103  0.21293278  0.3188759   0.11480962 -0.0734174
  0.09659743 -0.04388846 -0.08652765 -0.22150193  0.0661393  -0.3407919
 -0.13430874  0.09011695  0.10603904  0.21547472  0.23972286 -0.0004098
  0.00253041  0.21320845 -0.01108335  0.08979314  0.1977475   0.03230801
  0.0264385   0.13529709  0.00425863 -0.04065007 -0.11667869 -0.07361767
  0.06144647 -0.09189489  0.0977268   0.02732261 -0.18327716 -0.0794595
  0.07569152  0.15872784  0.05153698  0.02542775  0.08355364 -0.0883944
  0.12445847 -0.1148738   0.088388    0.04382027 -0.00067864 -0.11764587
 -0.01906899 -0.04694529  0.06680776 -0.02213806  0.09918905  0.02225438
  0.24069549  0.13373639  0.17629044 -0.05356608 -0.03850161  0.29085112
  0.16248846 -0.03635277 -0.19902718  0.00598309]"
cawiki,"[ 0.08812672 -0.03622072  0.30493355  0.25526494 -0.0013599  -0.2154128
  0.06564792 -0.04422826 -0.22440277 -0.1380808   0.01825157 -0.06855121
 -0.31361365  0.12670581  0.14651859  0.20632516  0.04571116  0.02244945
  0.0273351   0.10627762 -0.0668751   0.14185342  0.09338992 -0.00361804
  0.05870814  0.26496932 -0.12524515  0.02468597  0.04069642 -0.07697602
  0.11605646  0.18370302 -0.03295341 -0.04286004  0.00169769 -0.15112177
 -0.07886758  0.03078165 -0.05999101 -0.15114072  0.04342283 -0.06481278
 -0.1549874  -0.05958572  0.11123305  0.07071581  0.16636607  0.05902069
 -0.09855015  0.18097624 -0.141874   -0.09473597  0.10416865 -0.0404923
  0.2319546   0.16711861  0.08666215 -0.0261164  -0.06233399 -0.03482827
  0.09196268 -0.0172801  -0.17492138  0.19089577]"
slwiki,"[ 0.1676253   0.11332537  0.19452514  0.16779232  0.05276775  0.04551037
  0.1586388  -0.21230447 -0.41310278 -0.10572315  0.3055757  -0.00819559
 -0.30639115 -0.03942863  0.02253233  0.24834925  0.19510719  0.09160524
 -0.04563969  0.1446903   0.04246594  0.1650897   0.08860248 -0.0107681
  0.01777967  0.29775015 -0.09647476 -0.27994472 -0.24301225 -0.09297007
  0.01452266  0.04125753  0.01877863 -0.05157286 -0.11149    -0.16527048
  0.07004925 -0.02995494  0.09762982  0.09405766  0.02796433  0.15740913
  0.13289426  0.09022758  0.1626982  -0.08130039  0.18976347  0.21427695
 -0.05792875  0.22908723  0.05530056  0.00575695 -0.11611106  0.07100371
  0.19305806  0.18935859  0.06847614 -0.04274863  0.00147652  0.05273387
  0.13127747  0.04480378  0.20989788  0.04846519]"
huwiki,"[ 0.07829888  0.01573486  0.21839413  0.16623546  0.09766827 -0.12623753
  0.0818838  -0.1039121  -0.25677192 -0.0357853   0.06883149 -0.16407871
  0.00861154  0.05542175  0.2059834   0.15520906  0.0482846   0.12043865
 -0.01992585  0.29932266  0.12322388  0.20694366  0.19012187 -0.05126148
  0.0803441  -0.04469034 -0.12910122  0.03109616 -0.14127712 -0.17335594
  0.02828064  0.12029777 -0.08941807 -0.02369934 -0.18205646 -0.22902487
  0.19162825  0.07733545  0.00325933 -0.01869821  0.02865795  0.10426725
  0.04646928 -0.21520308  0.17895834 -0.03857337 -0.04292826 -0.00304122
 -0.00635986  0.0199553  -0.16012664  0.04351894  0.04558401  0.0876472
  0.33050323  0.16118483  0.09795983 -0.02129401 -0.05962233  0.162303
 -0.01527551 -0.06110127  0.02812458  0.01155651]"
thwiki,"[ 0.05934013  0.05506647  0.16860513  0.17852278  0.04083091 -0.14626016
  0.00184043 -0.13070434 -0.31353968 -0.05292609  0.11201067 -0.18524824
 -0.17073412  0.09512122  0.15237525  0.1179525   0.11225128 -0.04413008
 -0.11745895  0.21071123 -0.06436796  0.15779026 -0.03663636 -0.15324959
 -0.01316524  0.156624   -0.17735694  0.00159535  0.11202902  0.10129953
  0.05138469  0.03246611 -0.07081342 -0.01979858 -0.03586942 -0.15694307
  0.11157304  0.11628949  0.01266329 -0.09214725 -0.1429501   0.06850638
 -0.11667529 -0.01704396  0.14971751  0.02613387 -0.01804526  0.0191878
 -0.02317638 -0.03776795 -0.08537132 -0.04692591  0.16523546  0.22816683
  0.21898349  0.07616815  0.07408001 -0.1953714  -0.01743028  0.16845843
  0.05685962 -0.02432954 -0.14142701 -0.0208733 ]"
ocwiki,"[-4.38396521e-02 -2.52294689e-01  1.72954053e-01  2.87544698e-01
  1.34009540e-01  7.63993561e-02  3.73578072e-02 -9.00812969e-02
 -1.78805068e-01  3.78079452e-02 -1.16207793e-01  2.48275865e-02
 -5.80980837e-01  9.03348846e-05  9.00308788e-03  3.11716348e-01
 -1.28273040e-01 -9.24877897e-02  6.66974559e-02 -2.43493356e-02
 -3.28633636e-02  1.08199278e-02  1.26851648e-01 -9.43591297e-02
 -5.81447668e-02  2.39620492e-01 -9.31575522e-02 -3.46713483e-01
  2.47915283e-01 -2.16574073e-02  3.70609581e-01  9.97576267e-02
  2.93935128e-02 -2.96085298e-01  1.81502208e-01 -1.96734786e-01
 -6.08578436e-02  1.67772338e-01 -1.25767559e-01 -1.08102165e-01
 -3.19429338e-01 -5.09718880e-02 -1.07722953e-01  5.47977388e-02
 -4.33998294e-02 -2.09185481e-02  1.50106385e-01 -2.67044336e-01
  1.49271756e-01  1.51026100e-01  3.13742273e-02 -8.68211091e-02
  4.65201735e-02  1.77963257e-01  2.09703997e-01  4.86990735e-02
  5.48433363e-02  2.80341238e-01  9.68563557e-03  3.27983707e-01
  1.87554255e-01 -2.31955692e-01  2.26136893e-02  2.82651871e-01]"
iowiki,"[ 0.06556499  0.1404719   0.19422866 -0.12722363 -0.01293709  0.03378168
  0.1230387  -0.10724222 -0.070364   -0.2804614   0.02700652 -0.209365
 -0.05354348  0.10683879 -0.19851321  0.48327813  0.06256699  0.21666157
 -0.12289598  0.0983033   0.10256425 -0.1332984   0.448181   -0.20406419
  0.3734616   0.27232358 -0.23437518 -0.00245435  0.16546811 -0.27038348
  0.18073903  0.03080659  0.05126456 -0.05742731  0.12244151 -0.08651752
 -0.05705209  0.06503166  0.00208525 -0.38567302 -0.4495576  -0.10715884
  0.2897728  -0.04754395  0.09778719 -0.01535307  0.06745877  0.04459778
 -0.04616675  0.20899944  0.06363852 -0.14474104  0.2020339   0.02345782
  0.09306064  0.00105019  0.04043454  0.10644864  0.33011976  0.37462768
  0.07426783 -0.49327597 -0.21561033 -0.33436933]"
hrwiki,"[ 0.289444    0.06181006  0.21515638  0.13444097  0.11746602 -0.17796813
  0.07737862 -0.10483903 -0.23351276 -0.19110924  0.09866503 -0.13647918
 -0.12651293 -0.10151663  0.16570349  0.28315362 -0.00979063 -0.10297743
  0.00942131  0.17323174 -0.01364655  0.18174836 -0.05583474 -0.02448687
  0.08177028  0.16922008 -0.0532116  -0.09929433  0.1133287  -0.09504398
  0.01906489  0.0871676   0.13653952 -0.17683508 -0.19249235 -0.1477034
 -0.00201389 -0.00527466  0.03617615 -0.10943357 -0.04123511  0.02366772
  0.14098153 -0.14454722  0.23072244  0.00301082  0.07811492 -0.01689733
  0.04945502 -0.00855578 -0.03042465 -0.07222824  0.162429    0.05989838
  0.02946333  0.12978241  0.08173182  0.05678682 -0.22521403  0.10214996
  0.05295478 -0.07213023 -0.03084416  0.08737933]"
fawiki,"[ 0.1303937  -0.03500481  0.12452454  0.04638899 -0.25121617 -0.15998897
  0.07907953 -0.21826807 -0.36607265  0.11994535  0.14495976  0.04638503
 -0.12252753 -0.20510598  0.06823497  0.11490211  0.18308942 -0.07348652
 -0.00484904  0.06387539  0.06299653  0.2289575   0.1435605  -0.06643139
 -0.24387513  0.4223217  -0.09310882 -0.0417376   0.0097944  -0.04618067
 -0.00164922  0.19287387  0.06476928 -0.0098878   0.07227143 -0.15277681
  0.03211055  0.22920454 -0.06758939  0.09274375  0.20502767 -0.02599369
  0.0789769  -0.04962549  0.10786353  0.10640118 -0.01120179  0.07974589
  0.03952809  0.03951254 -0.02446292 -0.17567067  0.26060218 -0.01773483
  0.19965813  0.07414974  0.04480799 -0.03551782 -0.10115699  0.14645034
 -0.031186    0.10962245 -0.14856048  0.08952561]"
tlwiki,"[ 0.0799119  -0.08260442 -0.03324581  0.17604505  0.1181494  -0.1286934
  0.13120607 -0.10116145 -0.22900967  0.0077121  -0.09236915 -0.05725682
 -0.16207118  0.0380145  -0.02181027  0.29873747 -0.00765474  0.04330462
 -0.13329259  0.20099065 -0.06941068  0.21009845  0.03352027 -0.16677552
 -0.03330667  0.06100065 -0.06322573  0.16671558 -0.04509804 -0.08308761
  0.01531706 -0.04453123  0.00416683 -0.00981681 -0.16613969 -0.07954496
  0.2891311   0.0737129  -0.04162409  0.08916428 -0.18387774  0.3448476
  0.32192725  0.03687968 -0.01476154 -0.10897619  0.1368717  -0.11650173
 -0.04188509  0.05975144 -0.0980205  -0.15309617  0.00683238  0.2671306
  0.16217946  0.0479673   0.15855601 -0.04524154 -0.21291034  0.30198178
 -0.09677207 -0.1978569  -0.06774268  0.17412303]"
nnwiki,"[ 0.11071818  0.01222167  0.20003158  0.17421527 -0.02599299 -0.138471
  0.08355629 -0.01407977 -0.24671882 -0.0620344   0.1487466  -0.13249083
 -0.07258072  0.05906222 -0.06260854  0.07744502  0.0972864  -0.01437144
  0.00505421  0.07359698  0.04551378  0.18415312  0.12559596  0.05953481
 -0.08991159  0.1419419  -0.32672822  0.1060278   0.05640062 -0.15971647
  0.04501362  0.06131636 -0.01985907  0.01090956 -0.10694543 -0.08158284
  0.02383277  0.22680058 -0.09883168 -0.11800707 -0.05293711  0.03533578
  0.10988177 -0.0447767   0.13753632  0.01793057 -0.08838981  0.06639463
  0.04803967 -0.08493613 -0.04481103 -0.03991075  0.25082874  0.08411422
  0.25906098  0.27282795  0.15183213  0.0413125  -0.09915197  0.19097094
  0.1772284   0.06926389 -0.05556642 -0.0221075 ]"
cswiki,"[ 1.15616024e-01 -1.37724234e-02  1.36537135e-01  2.21749455e-01
 -4.21415782e-03 -6.06089570e-02  1.43528813e-02 -1.36692703e-01
 -1.60034508e-01 -1.24805927e-01  1.13424763e-01 -9.13171396e-02
 -1.64081618e-01 -1.44613445e-01  1.08914807e-01  1.27803966e-01
  1.47893846e-01 -6.76665008e-02  1.15043391e-02  2.23284870e-01
  3.20032565e-03  3.11900359e-02  1.34566545e-01 -5.30648092e-03
  1.26751363e-01  2.31620073e-01 -2.68456787e-01  1.06662177e-01
 -2.76714680e-03 -1.54373243e-01 -5.66768199e-02  9.36687663e-02
  3.66564319e-02  2.24876106e-02 -1.96098447e-01 -1.17201447e-01
  9.90590304e-02  1.36186689e-01 -3.65892760e-02 -2.07874820e-01
 -1.18314572e-01  3.31926234e-02  2.49381792e-02 -3.64075750e-02
  1.93372309e-01  4.47868602e-04  5.23401499e-02 -3.64355557e-02
  3.22861165e-01  8.59668925e-02 -1.07860900e-01 -1.98560938e-01
  2.32248008e-01  1.04362225e-04  1.87380180e-01  4.68081273e-02
  3.74963619e-02 -8.69580954e-02 -1.51856408e-01  1.47940904e-01
  4.09255289e-02 -7.94022717e-03 -1.90594587e-02 -4.05486077e-02]"
pnbwiki,"[ 1.33662194e-01  2.70338655e-01  3.24474240e-04  4.02387142e-01
  1.54149249e-01 -2.62241393e-01 -1.31130233e-01 -2.84783125e-01
 -3.25476944e-01  1.24950305e-01 -1.09847849e-02 -4.85216409e-01
 -5.86008616e-02 -1.49685621e-01 -4.58264261e-01  2.13686362e-01
  7.31155723e-02  2.19795071e-02  4.24887389e-02 -8.85742605e-02
 -2.71508470e-02  1.70325831e-01  2.91440845e-01 -8.82475302e-02
 -2.98871815e-01  3.04444015e-01  1.80679914e-02  4.68795784e-02
 -1.13472156e-01 -1.99894235e-01  6.95868805e-02 -2.52499074e-01
 -3.10659278e-02 -1.17618911e-01 -1.80952355e-01  1.55369386e-01
 -3.34086150e-01  1.63563520e-01 -4.32770163e-01  6.29485920e-02
 -1.69574350e-01  1.46011397e-01 -2.28039637e-01  6.28080368e-02
  2.12983891e-01  6.22343160e-02 -3.02010655e-01 -1.43039197e-01
 -6.73894286e-02  1.69932812e-01 -7.13652074e-02 -3.66871506e-02
  2.85663605e-01  2.72516787e-01 -1.70027912e-01  5.85966110e-01
 -1.47098929e-01  2.20991701e-01  7.90442452e-02  2.72600025e-01
 -9.90942046e-02  5.08530922e-02 -3.56171846e-01  1.08624227e-01]"
yowiki,"[ 0.02946607  0.16065274  0.15729485  0.43152264  0.01651195  0.01409241
  0.17494331 -0.15242803 -0.21919763 -0.00544061  0.02807559 -0.26039088
 -0.11775997  0.13615349 -0.23416932 -0.08975823  0.21877848 -0.15214704
  0.3739746   0.38630104 -0.21063489  0.3795949   0.3767257  -0.02124895
  0.21250342  0.08644919 -0.15743525 -0.3625395   0.17663471 -0.2900783
  0.04306283  0.0417916  -0.20229235 -0.13395295  0.14198245 -0.01179218
  0.10186468 -0.2674063  -0.4676444  -0.3424515   0.1566819   0.280321
  0.2788863  -0.21886078 -0.20710671  0.34283748  0.02477833  0.44955593
 -0.01254078  0.14044389 -0.131829   -0.19264883  0.01161773  0.07058185
  0.22803019  0.03281225  0.07074296  0.14023437  0.12248971  0.03901776
  0.27868733  0.03291496  0.0447403   0.55660325]"
hsbwiki,"[-0.24699448 -0.2000476   0.00362857  0.05154221 -0.36610624  0.36332917
  0.1580207  -0.58151615 -0.1760167  -0.0936655   0.02532048  0.27493304
 -0.43221772 -0.44165632  0.29482207  0.2177891   0.13490206 -0.16573825
 -0.09574452  0.2198855   0.31505984  0.22645766  0.5437435   0.18810958
 -0.2623277   0.23716614 -0.36906856 -0.1617335   0.40409032 -0.28406155
  0.5401848   0.27519068  0.45282316  0.04526231 -0.37274286 -0.19330452
  0.05818    -0.0054025  -0.33848485  0.15180579  0.4250444   0.16022372
  0.14764175 -0.38420612  0.2876991  -0.19222154  0.02159728  0.05595233
 -0.21790963 -0.16805111 -0.10542367  0.13981238  0.05319264 -0.0432314
 -0.28452548 -0.06874772  0.20399012  0.11055161 -0.02846867  0.06556638
 -0.12747803  0.20675753 -0.24494614 -0.69004744]"
dsbwiki,"[-0.05057055 -0.19040862 -0.25957406  0.5115219  -0.08757489  0.23078199
  0.11338736 -0.00600262 -0.19653031 -0.07013647  0.06301823 -0.36233485
 -0.5806033  -0.02310089 -0.2645099  -0.32226384  0.12334069 -0.26734126
 -0.07742646  0.15208581  0.46908644  0.31919783  0.37166262  0.24818383
  0.32383007  0.38784432 -0.3423287   0.24909046  0.32048866 -0.45853704
  0.17664345  0.11729139  0.10305437 -0.09967411 -0.5463124  -0.24257536
  0.05503429  0.2047406  -0.15755112  0.1855281   0.39417452  0.54543275
  0.09952087  0.07147346  0.11839835 -0.01829868  0.20981295 -0.40904823
  0.3474378   0.03293031  0.00383622  0.00369078  0.30308262  0.13841219
 -0.00084289 -0.06333145  0.05876001 -0.34988943  0.00459839  0.05451438
 -0.30707827  0.31900612 -0.13711514 -0.57122713]"
dewiki,"[-0.04646437 -0.0711273   0.2712887   0.2121431   0.06297074 -0.1221341
  0.03423934  0.00681349 -0.09714457  0.13131595 -0.01915175 -0.14437896
 -0.08424115  0.02081405 -0.15787344  0.26914564  0.05367218  0.2437619
  0.03978458  0.12337981 -0.14635402  0.10035755  0.12693265 -0.25183308
  0.03679547  0.13655901 -0.20248666  0.04007934  0.02315268 -0.10375664
  0.21767378  0.23905101  0.21550424  0.03937441  0.02763002 -0.09183946
 -0.13414623  0.1712505   0.01069604 -0.10413516 -0.00976159 -0.09922778
  0.15989715  0.09914508  0.01127999 -0.13902016  0.01520492 -0.18681726
  0.02766534  0.05864139 -0.05962564 -0.3707055   0.12542287  0.1947767
  0.23389925  0.0833042   0.23601025 -0.14252095 -0.2484414   0.08716961
  0.00599016  0.00866803 -0.2219537   0.21387829]"
jawiki,"[ 1.90889776e-01  8.52525011e-02  2.73471773e-01  8.11574236e-02
 -1.42982095e-01 -9.10252780e-02 -2.22414080e-03 -1.61172509e-01
 -3.35528255e-01 -1.17024511e-01  9.66300070e-02 -5.58280498e-02
 -9.63161513e-02 -1.38457432e-01  2.51722131e-02  1.23898581e-01
  1.62357911e-01  1.48485526e-01 -1.78331509e-01  3.98531556e-02
  6.00005053e-02  3.06692690e-01  9.82612371e-02 -1.92143068e-01
 -1.03040889e-01 -1.85591847e-01  7.29027987e-02  1.09235495e-01
  9.64252651e-02 -5.93603626e-02  3.45870554e-01  9.46364626e-02
  4.83625084e-02 -1.72797162e-02 -5.62162548e-02 -2.39935830e-01
  1.58081815e-01  2.88603067e-01  3.08559800e-04 -9.86108929e-02
 -7.06823543e-02  3.99612188e-02  3.29474390e-01  3.34231704e-02
  1.75739229e-01 -7.44130611e-02  3.91729781e-03  1.10962540e-01
  9.51312184e-02  1.45520240e-01  6.71346933e-02  2.46820562e-02
  2.30396762e-01  2.82829434e-01 -1.08753808e-01  1.14877246e-01
  3.10757179e-02 -1.19706094e-01  2.05572434e-02  4.32230942e-02
  1.84435118e-02 -2.19150409e-01 -3.14467967e-01  2.31980905e-01]"
etwiki,"[ 0.13776495  0.08964652  0.00129604  0.1284429   0.13545737 -0.14909582
  0.12745555  0.11482139 -0.1751289  -0.01755838 -0.02351146  0.07543727
 -0.09345404 -0.20258886 -0.0194747   0.20979671  0.22811809  0.01835686
  0.01283458  0.20623107  0.11278483  0.2230732   0.12400685 -0.0064504
  0.00279762  0.33498397 -0.03672229  0.09522653  0.18660027 -0.04760283
  0.00050573  0.04638658  0.14329858 -0.0933181  -0.22070451 -0.23770097
  0.0166918   0.365948   -0.04951214 -0.23261692 -0.09415769  0.03147181
  0.19752197 -0.00131194  0.0965847   0.03294869  0.18246105  0.04402512
 -0.09707271 -0.01618062  0.00472653  0.0029237   0.07857813  0.1680198
  0.34532496  0.16829045  0.10803165 -0.0914086  -0.2240376   0.1109318
  0.23201291  0.1600021  -0.06041395  0.10301965]"
mswiki,"[ 0.0042518   0.12155467  0.04458517  0.29266784 -0.20654719  0.03990246
  0.04400072 -0.21167047 -0.25524223 -0.07446236 -0.26656383 -0.09647575
 -0.29971725 -0.11079138 -0.12638372  0.35683057 -0.04674603  0.03540346
 -0.04312588  0.22375011 -0.11557163  0.1054499   0.21550593 -0.19086894
  0.0162704   0.1083414  -0.35351276  0.02688084 -0.09286176 -0.12723383
  0.2956555   0.19965214 -0.0827163  -0.09448607  0.0834654  -0.12495992
 -0.06892975  0.07653195 -0.1380239   0.08416977  0.1258896   0.14141655
 -0.13180706 -0.01887875 -0.12899561  0.00126588  0.12713061 -0.04707308
 -0.2901544   0.13329966  0.24059218  0.07807077  0.15424676  0.3409136
  0.05349298  0.06573646  0.02902581  0.03580546 -0.2721078   0.12334018
 -0.04947245  0.05270702 -0.25398666  0.05047498]"
idwiki,"[ 2.32624978e-01 -7.96530172e-02  2.66813129e-01  2.20872700e-01
 -7.60658607e-02 -2.40913436e-01 -1.73699498e-01 -2.22633764e-01
 -1.35253847e-01 -1.19679362e-01 -8.27253163e-02 -1.71477854e-01
  1.89019851e-02  1.60267130e-01  6.17089160e-02  1.22143880e-01
  5.42695783e-02  1.42259896e-02 -9.00619179e-02  1.43243149e-01
 -1.83654091e-04  9.80233848e-02  9.88904312e-02 -3.46033454e-01
 -1.02387011e-01  1.13881916e-01 -3.33007067e-01  3.21857538e-03
  1.15984894e-01  9.23216492e-02  2.15741292e-01  3.66804600e-02
  2.73445100e-02 -1.79576278e-01  2.82762144e-02 -2.85088241e-01
  1.16373040e-01  1.24080837e-01 -1.36829406e-01 -2.26011962e-01
  9.96018723e-02 -7.04379156e-02  2.14027569e-01  2.12154540e-04
  1.37412056e-01  8.71144526e-04 -1.03835702e-01 -1.49291188e-01
  7.08995461e-02  8.48471969e-02 -1.86502784e-01  1.86609582e-03
 -1.07708283e-01  1.99685588e-01  2.06075951e-01  4.47120704e-02
  6.79099932e-02 -3.98096330e-02 -2.71816909e-01 -1.62109267e-02
 -1.17902078e-01  9.04198438e-02 -2.56786384e-02  2.20141257e-03]"
cywiki,"[ 0.20695338 -0.00534289  0.05761007  0.10555179  0.2668925  -0.36682424
 -0.00890491 -0.05011806 -0.03157004 -0.1253786   0.18519746  0.21117808
 -0.40248197 -0.02162588  0.13596626  0.20271267 -0.0728543   0.17704368
 -0.16301319 -0.22911274 -0.191152    0.38308677  0.08815427 -0.3309514
  0.08663625  0.0859623  -0.38536403  0.16429226  0.22038423 -0.2458863
 -0.01108651  0.00973834  0.26249182  0.10794988  0.04049592 -0.10145117
  0.17297007  0.06411925  0.07052062  0.0541325   0.27277008 -0.14633769
  0.20035028 -0.11591727  0.23369114 -0.04875625 -0.09508415  0.03816446
  0.07735659  0.17972867  0.00182411  0.04620685  0.30606982  0.0924373
  0.07021154  0.2900734  -0.20327948  0.03826626 -0.04804222  0.1431664
 -0.05666801 -0.09646476  0.2146854  -0.03227679]"
plwiki,"[ 0.18053475 -0.06544685  0.1121258   0.21150924 -0.07667484 -0.0334608
  0.1059936  -0.20040107 -0.2375371  -0.02129017 -0.06471338 -0.22015819
 -0.1854307   0.05768437 -0.00246265  0.13318004  0.13729164  0.29589444
  0.10400505  0.18663827 -0.13540176  0.0162496   0.19183438 -0.02355049
 -0.04101849  0.12160761 -0.06643271  0.07922731 -0.13249488 -0.03704119
  0.05945429 -0.03493335 -0.05242166  0.10547993 -0.14865023 -0.18081902
  0.22250587  0.17401512  0.05358921 -0.05731215  0.04248012  0.00049026
  0.19271922 -0.23125914 -0.02849732  0.07861596 -0.09504607 -0.14139919
  0.02279306  0.0470534  -0.09549311 -0.16643302  0.11787386  0.00687101
  0.14813374  0.06117441  0.21060559  0.08899058 -0.18013841  0.09614905
  0.15164985 -0.14281228 -0.22129354  0.01990885]"
skwiki,"[ 0.05271261  0.09127896  0.10866889  0.12064724  0.10050445 -0.17884514
  0.1521002   0.07709715 -0.32048795  0.01576278  0.12227891 -0.25713572
 -0.11570191 -0.07010567  0.03538999  0.15287729  0.01736052 -0.09685744
 -0.06327     0.2551698  -0.07189305  0.25767973 -0.00602562 -0.00827833
  0.01553306  0.08875403 -0.20704041 -0.07826375  0.15529832 -0.13378583
  0.08524717  0.08133881  0.06459523 -0.09627254 -0.2772369  -0.25165302
  0.08444586  0.05101044 -0.03303402 -0.05559149 -0.13565803 -0.03561597
 -0.08707402 -0.20071039  0.17230615  0.10095751  0.16781141  0.08691583
 -0.02015847  0.08996426 -0.10139862  0.00102902  0.03430753  0.14897685
  0.20291638  0.11928338  0.07740454 -0.13294868 -0.03945921  0.07280375
  0.10928054  0.05080582 -0.07184181  0.07666831]"
lvwiki,"[ 0.22168136  0.01343961  0.08201052  0.06029828  0.17897736 -0.13477257
  0.08264443  0.03592533 -0.32943165  0.15575802  0.11187169 -0.13564263
 -0.14943871 -0.1444229   0.05196822  0.1684856   0.12209857 -0.06599183
  0.08053328  0.20257777  0.08149023  0.11299779  0.24095954 -0.07011872
 -0.04689798  0.20431298 -0.25474137 -0.03490022 -0.06478332  0.04437194
  0.03158451  0.10588253  0.06490824 -0.02820584 -0.2320724  -0.04015198
  0.2945898   0.17953944 -0.06143885 -0.09288242 -0.02684884  0.05356092
  0.13228159 -0.07477546  0.2543268   0.21536167  0.03706571 -0.03586389
 -0.06704329  0.10936529 -0.02368941 -0.02240988  0.09527023  0.15337995
  0.06817546  0.03757728 -0.00662351 -0.15930726 -0.16389339  0.11759825
  0.09899438 -0.0578273  -0.05484587 -0.01711906]"
ndswiki,"[-3.6428813e-02 -2.5460774e-02  1.2764725e-01  3.6468659e-02
 -5.7760466e-02 -2.9507923e-01  1.2948684e-01  7.9885788e-02
 -1.9031629e-01 -1.1850711e-01 -8.6935319e-02 -3.3078918e-01
  2.6595883e-02 -1.1122224e-01  6.8692076e-03  1.5757076e-01
  2.3155348e-05  1.7516266e-01 -1.4910655e-01  1.6830741e-01
  3.3715259e-02  2.9779306e-01  9.0304203e-02 -1.9408412e-01
  1.0348138e-02  3.5518745e-01 -1.4951769e-01 -1.9516318e-01
  4.1668378e-02 -3.2856721e-02  4.8157863e-02 -9.4675478e-03
  1.4662196e-01 -9.7893961e-02  7.4931728e-03 -1.4039426e-01
  1.7249416e-01  5.2972045e-02  1.3497819e-01 -1.2747547e-01
 -1.7428970e-01  1.0006979e-01  2.6429209e-01 -1.5704574e-01
  1.9869557e-01  2.9482765e-02 -8.1695490e-02  6.9857821e-02
  1.6524804e-01  3.2539770e-02 -3.3244375e-02 -1.1275078e-02
  3.5060567e-01  8.4012866e-02  1.4661880e-01  1.2967846e-01
 -3.1296384e-02 -2.2141065e-02 -3.0851571e-02  1.7700872e-01
 -3.5584606e-02 -1.7738994e-02 -3.5606913e-02 -7.8224853e-02]"
itwiki,"[-0.04934743 -0.14494479  0.16190976  0.41356286  0.05728403  0.04155021
 -0.17188612 -0.1604645  -0.38812453  0.29348606 -0.0453287  -0.07160269
 -0.30954307 -0.16960295 -0.14545001  0.19136587 -0.02065763  0.09155353
 -0.1951537   0.22648448 -0.09853067  0.17498267  0.01131529 -0.30674756
 -0.09408603  0.08597103 -0.06533158  0.09150681  0.08143543 -0.08795141
  0.04568556  0.04271587 -0.16161563 -0.03279701  0.07190835 -0.11506151
  0.01917911  0.29849252  0.09732905 -0.15555553  0.24740486 -0.04026677
  0.12950471 -0.24740964  0.1061106  -0.1527842  -0.0252418   0.10791037
  0.12038694 -0.06884628 -0.05320853  0.02020148  0.20261271 -0.06448734
  0.17674659  0.11168084  0.20484124 -0.04211339  0.18624407  0.15782057
 -0.07951405 -0.10100877 -0.05151917  0.03532419]"
hywiki,"[ 0.33168453 -0.04939347  0.16355969  0.1762811   0.00558791 -0.12191842
 -0.04402833 -0.05685856 -0.24957192  0.13795997  0.19696245 -0.09821777
  0.03535826 -0.22202203 -0.05577591  0.17924307  0.12783642  0.01124002
  0.24645254  0.16567267 -0.00345106  0.11730295  0.05909957  0.0729745
 -0.01583437  0.30323887 -0.14311221  0.06296682  0.07749981 -0.08805007
  0.10410412  0.34969792  0.14149597 -0.04917488  0.06009039 -0.18632439
  0.05569921  0.15891647 -0.2015126  -0.17141789  0.15938506 -0.02904422
  0.24499471 -0.15300788 -0.07784193  0.12448914 -0.17716122 -0.03291152
  0.06179145  0.16691123 -0.19885638  0.01008984  0.11510444 -0.03990138
  0.02356695  0.17370854  0.12787466 -0.07867866 -0.10928773  0.27942446
  0.06744283  0.01683175  0.05987246 -0.03773591]"
